Event,Location,Date,Start,End,Image
Breakfast at Tiffany’s (Truman Capote),Cinémathèque de la Ville de Luxembourg,14.09.2024,20:30,22:30,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/breakfast-at-tiffany-s-truman-capote-94aZgG/thumb_breakfast-at-tiffanys-2_main.jpg
Matilda (Cinema Paradiso),Cinémathèque de la Ville de Luxembourg,15.09.2024,15:00,16:45,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/matilda-cinema-paradiso-iBbbHH/thumb_Matilda_03_main.jpg
Capote (Truman Capote),Cinémathèque de la Ville de Luxembourg,15.09.2024,17:30,19:30,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/capote-truman-capote-2kw7VQ/thumb_philip-seymor-hoffman_capote-2005-3_main.jpg
Before Sunset (Before Trilogy),Cinémathèque de la Ville de Luxembourg,15.09.2024,20:00,21:30,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/before-sunset-before-trilogy-G-6GNk/thumb_Before-Sunset-1_main.jpg
British & Irish Film Festival (Luxembourg 2024),Cinémathèque de la Ville de Luxembourg,16.09.2024,18:30,20:30,https://www.vdl.lu/sites/default/files/styles/thumbnail/public/media/image/2024-07/Digital%20use%20small-BJR%202019%20Print%20%C2%A9%20Marc%20Lazzarini%20standart%20%2871%20of%20301%29.png?itok=GDOk7rSb
British & Irish Film Festival (Luxembourg 2024),Cinémathèque de la Ville de Luxembourg,16.09.2024,19:00,21:00,https://www.vdl.lu/sites/default/files/styles/thumbnail/public/media/image/2024-06/Digital%20use%20Full%20Res-L1040689.png?itok=Ed3dKjeN
British & Irish Film Festival (Luxembourg 2024),Cinémathèque de la Ville de Luxembourg,17.09.2024,18:30,20:30,https://storage.googleapis.com/lu-echo-prod-experiences/FA7MuqnAlmYEYsy9d3kd/dr-robert-philippart-d-pless-d-armes-hir-geschicht-an-hire-cercle-KFuPO5/thumb_Dr-Robert-Philppart_main.JPG
Dr. Robert L. Philippart,Cercle Cité - Auditoire Henri Beck,17.09.2024,18:30,20:45,https://www.vdl.lu/sites/default/files/styles/thumbnail/public/media/image/2024-07/Digital%20use%20small-BJR%202019%20Print%20%C2%A9%20Marc%20Lazzarini%20standart%20%2871%20of%20301%29.png?itok=GDOk7rSb
British & Irish Film Festival (Luxembourg 2024),Cinémathèque de la Ville de Luxembourg,17.09.2024,20:30,22:30,https://www.vdl.lu/sites/default/files/styles/thumbnail/public/media/image/2024-06/Digital%20use%20Full%20Res-L1040689.png?itok=Ed3dKjeN
British & Irish Film Festival (Luxembourg 2024),Cinémathèque de la Ville de Luxembourg,18.09.2024,18:30,20:30,https://storage.googleapis.com/lu-echo-prod-experiences/j2vhe4qaVrzdu5kGdXLmDb/3loPgf4aw49L2NlOXUu08N-pc7DHm/thumb_brocante20echo20lu_main.jpg
British & Irish Film Festival (Luxembourg 2024),Cinémathèque de la Ville de Luxembourg,18.09.2024,20:30,22:30,https://storage.googleapis.com/lu-echo-prod-experiences/j2vhe4qaVrzdu5kGdXLmDb/glacismaart-aJrmtg/thumb_md_vdl_glacismaart-06232_main.jpg
British & Irish Film Festival (Luxembourg 2024),Cinémathèque de la Ville de Luxembourg,20.09.2024,20:30,22:30,https://storage.googleapis.com/lu-echo-prod-experiences/j2vhe4qaVrzdu5kGdXLmDb/3loPgf4aw49L2NlOXUu08N-pc7DHm/thumb_brocante20echo20lu_main.jpg
Marché à la Brocante,"Place d'Armes, Luxembourg",21.09.2024,8:00,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/free-willy-family-screenings-eoWg_c/thumb_Free-Willy_01_main.jpg
Free Willy (Family Screenings),Cinémathèque de la Ville de Luxembourg,21.09.2024,16:00,18:00,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/beat-the-devil-truman-capote-aCXESF/thumb_beat-the-devil-2_main.png
Beat the Devil (Truman Capote),Cinémathèque de la Ville de Luxembourg,21.09.2024,18:30,20:00,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/before-midnight-before-trilogy-iTWgzj/thumb_Before-Midnight-1.jpg
Before Midnight (Before Trilogy),Cinémathèque de la Ville de Luxembourg,21.09.2024,20:30,22:15,https://storage.googleapis.com/lu-echo-prod-experiences/wNqoZmove5SG6TRjbN97Kc/pippi-langstrumpf-cinema-paradiso-RSfuFS/thumb_Pippi-Langstrumpf_main.jpg
